,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Georgia,7486.094,7636.522,7788.24,8227.303,8377.038,8508.256,8622.793,8769.252,8925.922,9155.813,9349.988,9504.843,9620.846,9712.209,9803.63,9903.58,9975.592,10071.204,10183.353,10308.442,10417.031,10519.389,10628.02,10732.39,10790.385,10913.15,11029.227
Hawaii,1189.322,1190.472,1185.497,1213.519,1225.948,1239.613,1251.154,1273.569,1292.729,1309.731,1315.675,1332.213,1346.717,1364.004,1379.562,1395.199,1408.822,1415.335,1422.999,1428.885,1425.763,1423.102,1415.615,1451.181,1446.745,1439.399,1435.138
Idaho,1210.638,1230.923,1251.7,1299.43,1319.962,1340.372,1363.38,1391.802,1428.241,1468.669,1505.105,1534.32,1554.439,1570.819,1584.272,1595.91,1612.053,1632.248,1652.495,1684.036,1719.745,1752.074,1789.06,1849.339,1904.537,1938.996,1964.726
Illinois,12011.509,12069.774,12128.37,12434.161,12488.445,12525.556,12556.006,12589.773,12609.903,12643.955,12695.866,12747.038,12796.778,12840.545,12867.783,12883.029,12895.778,12885.092,12859.585,12821.709,12779.893,12724.685,12667.017,12790.357,12690.341,12582.515,12549.689
Indiana,5872.37,5907.617,5942.901,6091.866,6127.76,6155.967,6196.638,6233.007,6278.616,6332.669,6379.599,6424.806,6459.325,6490.555,6517.25,6538.989,6570.575,6596.019,6611.442,6637.898,6662.068,6698.481,6731.01,6789.098,6813.798,6832.274,6862.199
Iowa,2854.396,2861.025,2869.413,2929.067,2931.997,2934.234,2941.999,2953.635,2964.454,2982.644,2999.212,3016.734,3032.87,3050.819,3066.772,3076.844,3093.935,3110.643,3122.541,3133.21,3143.734,3149.9,3159.596,3190.904,3197.944,3199.693,3207.004
Kansas,2616.339,2638.667,2654.052,2693.681,2702.162,2713.535,2723.004,2734.373,2745.299,2762.931,2783.785,2808.076,2832.704,2858.266,2869.677,2886.024,2894.306,2901.861,2910.717,2912.977,2910.892,2912.748,2912.635,2938.124,2937.946,2936.716,2940.546
Kentucky,3907.816,3934.31,3960.825,4049.021,4068.132,4089.875,4117.17,4146.101,4182.742,4219.239,4256.672,4289.878,4317.074,4348.464,4370.817,4387.865,4406.906,4416.992,4429.126,4440.306,4455.59,4464.273,4472.345,4508.155,4507.6,4511.563,4526.154
Louisiana,4351.39,4362.758,4372.035,4471.885,4477.875,4497.267,4521.042,4552.238,4576.628,4302.665,4375.581,4435.586,4491.648,4544.635,4576.244,4602.067,4626.04,4645.938,4666.998,4681.346,4673.673,4664.45,4658.285,4652.022,4627.047,4588.023,4573.749
Maine,1245.215,1247.554,1253.04,1277.072,1285.692,1295.96,1306.513,1313.688,1318.787,1323.619,1327.04,1330.509,1329.59,1327.651,1328.473,1328.094,1328.543,1331.217,1329.098,1332.348,1335.743,1340.123,1345.77,1364.517,1378.787,1389.338,1395.722
